ac,ah,hri,LDSI_i0_depth,LDSI_i0_surface,LDSI_i1_depth,LDSI_i1_surface,LDSI_i2_depth,LDSI_i2_surface,LDSI_i3_depth,LDSI_i3_surface,CDSI_i0_depth,CDSI_i0_surface,CDSI_i1_depth,CDSI_i1_surface,CDSI_i2_depth,CDSI_i2_surface,CDSI_i3_depth,CDSI_i3_surface,LDSE_i0_depth,LDSE_i0_surface,LDSE_i1_depth,LDSE_i1_surface,LDSE_i2_depth,LDSE_i2_surface,LDSE_i3_depth,LDSE_i3_surface,CDSE_i0_depth,CDSE_i0_surface,CDSE_i1_depth,CDSE_i1_surface,CDSE_i2_depth,CDSE_i2_surface,CDSE_i3_depth,CDSE_i3_surface
0,0,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0
0,0,0.0125,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0
0,0,0.025,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0
0,0,0.05,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0
0,0,0.1,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0
0,0,0.2,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0
0,0,0.5,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0
0,0,1,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0,1.122,0,0.683,0,0.526,0,0.441,0
0,0.1,0,1.185,0,0.706,0,0.537,0,0.447,0,1.185,0,0.706,0,0.537,0,0.447,0,1.185,0,0.706,0,0.537,0,0.447,0,1.185,0,0.706,0,0.537,0,0.447,0
0,0.1,0.0125,1.184,0,0.706,0,0.537,0,0.447,0,1.175,0,0.702,0,0.535,0,0.446,0,1.185,0,0.706,0,0.537,0,0.447,0,1.177,0,0.703,0,0.535,0,0.446,0
0,0.1,0.025,1.183,0,0.705,0,0.537,0,0.447,0,1.171,0,0.7,0,0.534,0,0.445,0,1.185,0,0.706,0,0.537,0,0.447,0,1.175,0,0.702,0,0.535,0,0.446,0
0,0.1,0.05,1.181,0,0.704,0,0.536,0,0.447,0,1.165,0,0.699,0,0.532,0,0.444,0,1.184,0,0.706,0,0.537,0,0.447,0,1.172,0,0.701,0,0.534,0,0.445,0
0,0.1,0.1,1.176,0,0.702,0,0.535,0,0.446,0,1.155,0,0.694,0,0.53,0,0.443,0,1.183,0,0.705,0,0.537,0,0.447,0,1.168,0,0.699,0,0.533,0,0.445,0
0,0.1,0.2,1.167,0,0.699,0,0.533,0,0.445,0,1.14,0,0.688,0,0.527,0,0.441,0,1.182,0,0.705,0,0.536,0,0.447,0,1.165,0,0.698,0,0.532,0,0.444,0
0,0.1,0.5,1.141,0,0.689,0,0.527,0,0.441,0,1.107,0,0.676,0,0.52,0,0.436,0,1.18,0,0.704,0,0.536,0,0.447,0,1.163,0,0.696,0,0.531,0,0.444,0
0,0.1,1,1.103,0,0.674,0,0.519,0,0.436,0,1.067,0,0.66,0,0.511,0,0.431,0,1.182,0,0.704,0,0.536,0,0.447,0,1.163,0,0.696,0,0.531,0,0.443,0
0,0.2,0,1.364,0,0.777,0,0.578,0,0.475,0,1.364,0,0.777,0,0.578,0,0.475,0,1.364,0,0.777,0,0.578,0,0.475,0,1.364,0,0.777,0,0.578,0,0.475,0
0,0.2,0.0125,1.361,0,0.776,0,0.577,0,0.474,0,1.326,0,0.762,0,0.569,0,0.469,0,1.362,0,0.776,0,0.577,0,0.474,0,1.33,0,0.763,0,0.57,0,0.47,0
0,0.2,0.025,1.358,0,0.775,0,0.576,0,0.474,0,1.31,0,0.756,0,0.566,0,0.467,0,1.359,0,0.775,0,0.577,0,0.474,0,1.318,0,0.759,0,0.567,0,0.468,0
0,0.2,0.05,1.351,0,0.772,0,0.575,0,0.473,0,1.287,0,0.747,0,0.561,0,0.464,0,1.353,0,0.773,0,0.575,0,0.473,0,1.302,0,0.752,0,0.564,0,0.465,0
0,0.2,0.1,1.338,0,0.767,0,0.572,0,0.471,0,1.255,0,0.735,0,0.554,0,0.459,0,1.344,0,0.769,0,0.573,0,0.472,0,1.284,0,0.745,0,0.559,0,0.463,0
0,0.2,0.2,1.312,0,0.757,0,0.566,0,0.467,0,1.211,0,0.718,0,0.544,0,0.453,0,1.329,0,0.763,0,0.57,0,0.47,0,1.264,0,0.737,0,0.555,0,0.459,0
0,0.2,0.5,1.243,0,0.73,0,0.551,0,0.457,0,1.13,0,0.686,0,0.527,0,0.441,0,1.301,0,0.752,0,0.563,0,0.465,0,1.24,0,0.727,0,0.549,0,0.456,0
0,0.2,1,1.155,0,0.695,0,0.532,0,0.445,0,1.05,0,0.656,0,0.51,0,0.43,0,1.282,0,0.744,0,0.559,0,0.462,0,1.23,0,0.723,0,0.546,0,0.454,0
0,0.4,0,2.109,0,1.061,0,0.736,0,0.584,0,2.109,0,1.061,0,0.736,0,0.584,0,2.109,0,1.061,0,0.736,0,0.584,0,2.109,0,1.061,0,0.736,0,0.584,0
0,0.4,0.0125,2.089,0,1.054,0,0.732,0,0.576,0,1.886,0,0.976,0,0.688,0,0.547,0,2.088,0,1.053,0,0.732,0,0.576,0,1.896,0,0.98,0,0.69,0,0.549,0
0,0.4,0.025,2.069,0,1.046,0,0.727,0,0.573,0,1.807,0,0.946,0,0.672,0,0.537,0,2.068,0,1.046,0,0.727,0,0.573,0,1.827,0,0.953,0,0.675,0,0.539,0
0,0.4,0.05,2.029,0,1.031,0,0.719,0,0.567,0,1.706,0,0.908,0,0.651,0,0.523,0,2.03,0,1.031,0,0.719,0,0.567,0,1.744,0,0.921,0,0.657,0,0.527,0
0,0.4,0.1,1.959,0,1.004,0,0.704,0,0.558,0,1.583,0,0.861,0,0.625,0,0.506,0,1.967,0,1.007,0,0.706,0,0.559,0,1.651,0,0.885,0,0.637,0,0.514,0
0,0.4,0.2,1.835,0,0.956,0,0.678,0,0.54,0,1.44,0,0.808,0,0.595,0,0.487,0,1.867,0,0.969,0,0.684,0,0.545,0,1.558,0,0.849,0,0.617,0,0.5,0
0,0.4,0.5,1.567,0,0.854,0,0.621,0,0.503,0,1.234,0,0.73,0,0.553,0,0.459,0,1.695,0,0.903,0,0.648,0,0.521,0,1.461,0,0.811,0,0.596,0,0.486,0
0,0.4,1,1.322,0,0.761,0,0.569,0,0.47,0,1.079,0,0.672,0,0.52,0,0.438,0,1.58,0,0.859,0,0.623,0,0.505,0,1.427,0,0.798,0,0.589,0,0.482,0
0,0.6,0,4.03,0,1.764,0,1.115,0,0.822,0,4.03,0,1.764,0,1.115,0,0.822,0,4.03,0,1.764,0,1.115,0,0.822,0,4.03,0,1.764,0,1.115,0,0.822,0
0,0.6,0.0125,3.903,0,1.717,0,1.09,0,0.806,0,2.935,0,1.362,0,0.898,0,0.682,0,3.903,0,1.717,0,1.09,0,0.805,0,2.958,0,1.369,0,0.902,0,0.684,0
0,0.6,0.025,3.784,0,1.673,0,1.066,0,0.79,0,2.66,0,1.262,0,0.844,0,0.647,0,3.785,0,1.674,0,1.067,0,0.791,0,2.701,0,1.274,0,0.85,0,0.651,0
0,0.6,0.05,3.565,0,1.593,0,1.023,0,0.762,0,2.362,0,1.153,0,0.785,0,0.61,0,3.578,0,1.598,0,1.025,0,0.764,0,2.434,0,1.176,0,0.797,0,0.617,0
0,0.6,0.1,3.222,0,1.467,0,0.955,0,0.719,0,2.06,0,1.046,0,0.726,0,0.572,0,3.27,0,1.485,0,0.964,0,0.725,0,2.182,0,1.082,0,0.746,0,0.584,0
0,0.6,0.2,2.733,0,1.287,0,0.857,0,0.656,0,1.768,0,0.937,0,0.669,0,0.535,0,2.864,0,1.335,0,0.883,0,0.673,0,1.971,0,1.004,0,0.703,0,0.557,0
0,0.6,0.5,1.999,0,1.018,0,0.712,0,0.563,0,1.421,0,0.811,0,0.601,0,0.492,0,2.319,0,1.135,0,0.775,0,0.603,0,1.8,0,0.941,0,0.668,0,0.534,0
0,0.6,1,1.549,0,0.854,0,0.623,0,0.506,0,1.2,0,0.73,0,0.557,0,0.464,0,2.028,0,1.028,0,0.717,0,0.566,0,1.778,0,0.933,0,0.664,0,0.532,0
0,0.8,0,11.9489960405,0,4.545998609,0,2.572999271,0,1.733999544,0,11.9489960405,0,4.545998609,0,2.572999271,0,1.733999544,0,11.9489960405,0,4.545998609,0,2.572999271,0,1.733999544,0,11.9489960405,0,4.545998609,0,2.572999271,0,1.733999544,0
0,0.8,0.0125,10.2699968165,0,3.95699888,0,2.2649994125,0,1.541999632,0,4.5699991825,0,1.959999701,0,1.2209998385,0,0.8889998965,0,10.2859968085,0,3.962998877,0,2.267999411,0,1.5439996305,0,4.6129991725,0,1.9719996985,0,1.225999838,0,0.891999896,0
0,0.8,0.025,9.031997376,0,3.522999075,0,2.037999514,0,1.399999695,0,3.833999413,0,1.70199978,0,1.085999879,0,0.804999921,0,9.0879973485,0,3.5429990655,0,2.0479995095,0,1.4059996925,0,3.904999398,0,1.7229997755,0,1.095999877,0,0.8099999205,0
0,0.8,0.05,7.3239981205,0,2.924999334,0,1.724999649,0,1.203999779,0,3.211999575,0,1.484999834,0,0.972999906,0,0.733999938,0,7.4729980525,0,2.975999311,0,1.7519996365,0,1.2209997715,0,3.329999552,0,1.5209998275,0,0.9899999035,0,0.7439999365,0
0,0.8,0.1,5.5349988435,0,2.296999585,0,1.396999779,0,0.99899986,0,2.69999968,0,1.3069998695,0,0.879999923,0,0.675999948,0,5.8249987225,0,2.398999543,0,1.449999757,0,1.0319998465,0,2.8989996415,0,1.367999857,0,0.909999918,0,0.693999945,0
0,0.8,0.2,3.942999395,0,1.738999774,0,1.104999876,0,0.8169999195,0,2.2809997435,0,1.160999888,0,0.8039999325,0,0.628999953,0,4.407999228,0,1.900999717,0,1.188999847,0,0.868999902,0,2.6139996785,0,1.2669998685,0,0.8559999235,0,0.6599999485,0
0,0.8,0.5,2.528999735,0,1.2449998865,0,0.8469999325,0,0.654999954,0,1.828999796,0,1.002999904,0,0.72099994,0,0.5769999575,0,3.2199995495,0,1.482999826,0,0.9699999025,0,0.7319999355,0,2.47999966,0,1.218999861,0,0.8309999185,0,0.643999945,0
0,0.8,1,1.932999808,0,1.035999909,0,0.7379999425,0,0.5869999595,0,1.5489998255,0,0.903999913,0,0.668999944,0,0.5449999595,0,2.7789996245,0,1.323999852,0,0.8859999155,0,0.677999944,0,2.5909995935,0,1.2579998375,0,0.8509999065,0,0.6569999375,0
0.0625,0,0,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0,0.0125,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0,0.025,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0,0.05,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0,0.1,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0,0.2,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0,0.5,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0,1,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.1,0,1.129,0.336,0.68,0.0177,0.52,0.00319,0.435,0.00124,1.129,0.336,0.68,0.0177,0.52,0.00319,0.435,0.00124,1.129,0.336,0.68,0.0177,0.52,0.00319,0.435,0.00124,1.129,0.336,0.68,0.0177,0.52,0.00319,0.435,0.00124
0.0625,0.1,0.0125,1.129,0.337,0.68,0.0176,0.52,0.00316,0.435,0.00122,1.128,0.336,0.68,0.0175,0.52,0.00312,0.435,0.0012,1.131,0.337,0.681,0.0177,0.521,0.00317,0.435,0.00123,1.13,0.336,0.681,0.0176,0.52,0.00315,0.435,0.00122
0.0625,0.1,0.025,1.128,0.337,0.68,0.0176,0.52,0.00317,0.435,0.00122,1.127,0.336,0.679,0.0175,0.52,0.00309,0.435,0.00118,1.133,0.337,0.681,0.0176,0.521,0.00317,0.435,0.00122,1.131,0.336,0.681,0.0176,0.521,0.00315,0.435,0.00121
0.0625,0.1,0.05,1.125,0.337,0.679,0.0177,0.52,0.00318,0.434,0.00123,1.125,0.335,0.679,0.0174,0.519,0.00303,0.434,0.00114,1.134,0.337,0.682,0.0176,0.521,0.00315,0.436,0.00121,1.133,0.336,0.681,0.0176,0.521,0.00313,0.435,0.0012
0.0625,0.1,0.1,1.122,0.337,0.677,0.0177,0.519,0.00322,0.434,0.00126,1.12,0.335,0.677,0.0172,0.519,0.00293,0.434,0.00108,1.138,0.337,0.684,0.0175,0.522,0.00309,0.436,0.00117,1.135,0.336,0.682,0.0175,0.521,0.00308,0.435,0.00117
0.0625,0.1,0.2,1.114,0.338,0.674,0.0179,0.517,0.0033,0.433,0.00131,1.111,0.334,0.674,0.0168,0.517,0.00277,0.433,0.000984,1.142,0.336,0.685,0.0173,0.523,0.00296,0.437,0.00109,1.138,0.336,0.683,0.0173,0.522,0.00298,0.436,0.00111
0.0625,0.1,0.5,1.094,0.338,0.666,0.0182,0.512,0.00347,0.43,0.00141,1.086,0.331,0.665,0.0161,0.512,0.00244,0.43,0.000789,1.152,0.335,0.689,0.0167,0.526,0.00265,0.438,0.000904,1.145,0.335,0.686,0.0169,0.524,0.00278,0.437,0.000979
0.0625,0.1,1,1.062,0.339,0.653,0.0183,0.505,0.00354,0.425,0.00146,1.054,0.328,0.653,0.0155,0.505,0.00218,0.425,0.000645,1.16,0.334,0.693,0.0162,0.528,0.00237,0.44,0.000732,1.154,0.334,0.689,0.0166,0.525,0.00259,0.438,0.000862
0.0625,0.2,0,1.243,0.353,0.722,0.0226,0.543,0.00552,0.449,0.00258,1.243,0.353,0.722,0.0226,0.543,0.00552,0.449,0.00258,1.243,0.353,0.722,0.0226,0.543,0.00552,0.449,0.00258,1.243,0.353,0.722,0.0226,0.543,0.00552,0.449,0.00258
0.0625,0.2,0.0125,1.239,0.352,0.721,0.0224,0.542,0.00542,0.449,0.00251,1.235,0.351,0.719,0.022,0.541,0.00521,0.448,0.00239,1.249,0.353,0.725,0.0225,0.544,0.00548,0.45,0.00255,1.243,0.352,0.722,0.0223,0.543,0.00538,0.449,0.0025
0.0625,0.2,0.025,1.237,0.352,0.72,0.0225,0.542,0.00546,0.448,0.00254,1.231,0.349,0.718,0.0216,0.541,0.00499,0.448,0.00225,1.252,0.352,0.726,0.0224,0.545,0.00543,0.45,0.00252,1.245,0.351,0.723,0.0221,0.543,0.00524,0.449,0.0024
0.0625,0.2,0.05,1.232,0.353,0.718,0.0226,0.541,0.00555,0.448,0.0026,1.22,0.347,0.714,0.0209,0.539,0.00466,0.447,0.00205,1.256,0.352,0.728,0.0222,0.546,0.00528,0.451,0.00243,1.246,0.35,0.724,0.0216,0.544,0.00498,0.45,0.00225
0.0625,0.2,0.1,1.225,0.354,0.716,0.0229,0.539,0.00571,0.447,0.00269,1.202,0.344,0.708,0.02,0.535,0.00418,0.444,0.00177,1.261,0.35,0.73,0.0215,0.547,0.00494,0.452,0.00222,1.246,0.348,0.724,0.0208,0.544,0.00454,0.45,0.00197
0.0625,0.2,0.2,1.211,0.354,0.71,0.0231,0.536,0.00581,0.445,0.00275,1.173,0.34,0.697,0.0187,0.53,0.00357,0.441,0.00141,1.263,0.347,0.731,0.0204,0.548,0.00433,0.453,0.00185,1.246,0.344,0.724,0.0194,0.544,0.00385,0.45,0.00154
0.0625,0.2,0.5,1.175,0.354,0.696,0.023,0.528,0.00571,0.44,0.00267,1.108,0.333,0.674,0.0169,0.517,0.00273,0.433,0.000931,1.263,0.342,0.732,0.0184,0.549,0.00332,0.454,0.00124,1.248,0.338,0.725,0.0169,0.545,0.00253,0.451,0.000732
0.0625,0.2,1,1.116,0.35,0.674,0.0217,0.516,0.005,0.432,0.0022,1.003,0.374,0.635666666666667,0.0139,0.495333333333333,0.00159,0.419666666666667,0.000577,1.259,0.338,0.731,0.0168,0.549,0.00256,0.454,0.000802,1.256,0.333,0.729,0.015,0.547,0.00153,0.452,0.000114
0.0625,0.4,0,1.693,0.41,0.885,0.0388,0.629,0.0128,0.503,0.00661,1.693,0.41,0.885,0.0388,0.629,0.0128,0.503,0.00661,1.693,0.41,0.885,0.0388,0.629,0.0128,0.503,0.00661,1.693,0.41,0.885,0.0388,0.629,0.0128,0.503,0.00661
0.0625,0.4,0.0125,1.674,0.41,0.878,0.0388,0.625,0.0128,0.5,0.00664,1.641,0.398,0.867,0.035,0.62,0.0109,0.497,0.00548,1.729,0.41,0.898,0.0388,0.636,0.0127,0.507,0.00659,1.691,0.403,0.885,0.0366,0.629,0.0117,0.503,0.00593
