ac,ah,hri,LDSI_i0_depth,LDSI_i0_surface,LDSI_i1_depth,LDSI_i1_surface,LDSI_i2_depth,LDSI_i2_surface,LDSI_i3_depth,LDSI_i3_surface,CDSI_i0_depth,CDSI_i0_surface,CDSI_i1_depth,CDSI_i1_surface,CDSI_i2_depth,CDSI_i2_surface,CDSI_i3_depth,CDSI_i3_surface,LDSE_i0_depth,LDSE_i0_surface,LDSE_i1_depth,LDSE_i1_surface,LDSE_i2_depth,LDSE_i2_surface,LDSE_i3_depth,LDSE_i3_surface,CDSE_i0_depth,CDSE_i0_surface,CDSE_i1_depth,CDSE_i1_surface,CDSE_i2_depth,CDSE_i2_surface,CDSE_i3_depth,CDSE_i3_surface
0.0,0.0,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.0125,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.025,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.05,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.1,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.2,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.5,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,1.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.1,0.0,1.185,0.0,0.706,0.0,0.537,0.0,0.447,0.0,1.185,0.0,0.706,0.0,0.537,0.0,0.447,0.0,1.185,0.0,0.706,0.0,0.537,0.0,0.447,0.0,1.185,0.0,0.706,0.0,0.537,0.0,0.447,0.0
0.0,0.1,0.0125,1.184,0.0,0.706,0.0,0.537,0.0,0.447,0.0,1.175,0.0,0.702,0.0,0.535,0.0,0.446,0.0,1.185,0.0,0.706,0.0,0.537,0.0,0.447,0.0,1.177,0.0,0.703,0.0,0.535,0.0,0.446,0.0
