ac,ah,hri,LDSI_i0_depth,LDSI_i0_surface,LDSI_i1_depth,LDSI_i1_surface,LDSI_i2_depth,LDSI_i2_surface,LDSI_i3_depth,LDSI_i3_surface,CDSI_i0_depth,CDSI_i0_surface,CDSI_i1_depth,CDSI_i1_surface,CDSI_i2_depth,CDSI_i2_surface,CDSI_i3_depth,CDSI_i3_surface,LDSE_i0_depth,LDSE_i0_surface,LDSE_i1_depth,LDSE_i1_surface,LDSE_i2_depth,LDSE_i2_surface,LDSE_i3_depth,LDSE_i3_surface,CDSE_i0_depth,CDSE_i0_surface,CDSE_i1_depth,CDSE_i1_surface,CDSE_i2_depth,CDSE_i2_surface,CDSE_i3_depth,CDSE_i3_surface
0.0,0.0,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.05,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.1,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.15000000000000002,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.2,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.25,1.122,0.0,0.683,0.0,0.526,0.0,0.44099999999999995,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44099999999999995,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44099999999999995,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44099999999999995,0.0
0.0,0.0,0.30000000000000004,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.35000000000000003,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.4,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.45,1.122,0.0,0.683,0.0,0.526,0.0,0.44099999999999995,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44099999999999995,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44099999999999995,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44099999999999995,0.0
0.0,0.0,0.5,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.55,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.6000000000000001,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0
0.0,0.0,0.65,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.7000000000000001,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.75,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.8,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0
0.0,0.0,0.8500000000000001,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.9,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.0,0.9500000000000001,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.44100000000000006,0.0
0.0,0.0,1.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0,1.122,0.0,0.683,0.0,0.526,0.0,0.441,0.0
0.0,0.05,0.0,1.1535000000000002,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0,1.1535000000000002,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0,1.1535000000000002,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0,1.1535000000000002,0.0,0.6945,0.0,0.5315000000000001,0.0,0.444,0.0
