1st_col,2nd_col,3rd_col,4th_col,5th_col,6th_col,7th_col,8th_col
1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122
1.185,1.177,1.175,1.172,1.168,1.165,1.163,1.163
1.364,1.33,1.318,1.302,1.284,1.264,1.24,1.23
2.109,1.896,1.827,1.744,1.651,1.558,1.461,1.427
4.03,2.958,2.701,2.434,2.182,1.971,1.8,1.778
11.949,4.613,3.905,3.33,2.899,2.614,2.48,2.591
1.105,1.105,1.105,1.105,1.105,1.105,1.105,1.105
1.129,1.13,1.131,1.133,1.135,1.138,1.145,1.154
1.243,1.243,1.245,1.246,1.246,1.246,1.248,1.256
1.693,1.691,1.686,1.671,1.639,1.592,1.519,1.46
2.47,2.475,2.445,2.369,2.24,2.073,1.79,1.664
3.331,3.464,3.42,3.276,3.037,2.758,2.061,1.868
1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088
1.095,1.098,1.099,1.1,1.102,1.106,1.114,1.123
1.172,1.17,1.173,1.176,1.179,1.183,1.194,1.21
1.482,1.482,1.488,1.489,1.487,1.482,1.479,1.514
1.943,1.955,1.965,1.965,1.951,1.925,1.897,2.007
2.3,2.384,2.433,2.479,2.515,2.545,2.627,2.763666667
1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022
1.027,1.028,1.028,1.029,1.031,1.034,1.041,1.048
1.066,1.064,1.066,1.068,1.071,1.076,1.088,1.101
1.234,1.229,1.235,1.239,1.244,1.252,1.271,1.308
1.452,1.454,1.465,1.476,1.49,1.51,1.56,1.674
1.573,1.596,1.624,1.663,1.722,1.812,2.001,2.358
0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883
0.884,0.884,0.885,0.885,0.886,0.887,0.89,0.893
0.898,0.898,0.899,0.9,0.901,0.903,0.908,0.914
0.962,0.959,0.962,0.964,0.966,0.97,0.979,0.993
1.038,1.034,1.039,1.044,1.05,1.06,1.082,1.12
1.07,1.071,1.08,1.092,1.111,1.142,1.208,1.309
0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657
0.657,0.657,0.657,0.656,0.656,0.656,0.654,0.653
0.66,0.66,0.66,0.659,0.659,0.657,0.654,0.651
0.675,0.674,0.674,0.674,0.672,0.669,0.661,0.653
0.691,0.688,0.688,0.688,0.686,0.681,0.67,0.656
0.697,0.695,0.696,0.696,0.694,0.69,0.676,0.655
